                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1506,                 1.0839,                 1.3381,                0.71692,                0.70292,                0.76989,                0.53496,                 1.0362,                0.95915,                 1.2259,             0.00045569,             0.00045569,             0.00045569
                     35,                   1.14,                 1.0576,                 1.3248,                0.73406,                0.67851,                0.74794,                0.52965,                 1.0373,                0.99517,                 1.2264,             0.00044909,             0.00044909,             0.00044909
                     36,                 1.1496,                 1.0539,                 1.3328,                0.70243,                 0.6964,                0.75347,                0.51752,                 1.0299,                0.96055,                 1.2265,             0.00044249,             0.00044249,             0.00044249
                     37,                 1.1321,                 1.0494,                 1.3233,                0.69055,                0.73852,                0.75332,                0.52967,                  1.015,                 0.9854,                 1.2304,             0.00043588,             0.00043588,             0.00043588
                     38,                 1.1255,                 1.0268,                 1.3172,                0.74709,                0.70103,                 0.7708,                 0.5454,                0.99843,                0.92628,                 1.2169,             0.00042928,             0.00042928,             0.00042928
                     39,                 1.1348,                 1.0329,                 1.3158,                0.65134,                0.72247,                0.75682,                0.52303,                 1.0206,                0.96859,                 1.2375,             0.00042268,             0.00042268,             0.00042268
                     40,                  1.115,                 1.0054,                  1.307,                0.75087,                0.67292,                0.77168,                0.54137,                 1.0504,                0.92186,                 1.2438,             0.00041607,             0.00041607,             0.00041607
                     41,                  1.111,                 1.0035,                 1.3131,                0.73484,                 0.6756,                0.76499,                0.53942,                 1.0112,                0.96058,                 1.2133,             0.00040947,             0.00040947,             0.00040947
                     42,                 1.1116,                0.97595,                 1.3002,                0.75568,                  0.698,                0.78101,                0.54944,                  1.009,                0.90377,                 1.2212,             0.00040287,             0.00040287,             0.00040287
                     43,                 1.1034,                0.97683,                 1.2975,                0.78263,                0.67987,                0.77563,                0.53412,                 1.0352,                 0.9253,                 1.2331,             0.00039626,             0.00039626,             0.00039626
                     44,                 1.0898,                0.97806,                  1.296,                0.74538,                0.71468,                0.76204,                0.52646,                 1.0392,                0.96546,                 1.2276,             0.00038966,             0.00038966,             0.00038966
                     45,                 1.1033,                0.96034,                 1.2942,                 0.7612,                0.70865,                0.78077,                0.54212,                 1.0494,                0.94432,                 1.2374,             0.00038306,             0.00038306,             0.00038306
